quest_id,file,source_node,target_node,npc_id
1169,src/main/resources/aion/data/static_data/quest_definition/quests/1169.xml,started,reward,203126
1347,src/main/resources/aion/data/static_data/quest_definition/quests/1347.xml,a0b0,reward,203965
1470,src/main/resources/aion/data/static_data/quest_definition/quests/1470.xml,started,reward,790004
1548,src/main/resources/aion/data/static_data/quest_definition/quests/1548.xml,started,reward,204583
2667,src/main/resources/aion/data/static_data/quest_definition/quests/2667.xml,started,reward,204749
3209,src/main/resources/aion/data/static_data/quest_definition/quests/3209.xml,started,reward,805836
14022,src/main/resources/aion/data/static_data/quest_definition/quests/14022.xml,s7,reward,203996
15478,src/main/resources/aion/data/static_data/quest_definition/quests/15478.xml,started,reward,805799
15478,src/main/resources/aion/data/static_data/quest_definition/quests/15478.xml,started,reward,805801
15478,src/main/resources/aion/data/static_data/quest_definition/quests/15478.xml,started,reward,805803
15479,src/main/resources/aion/data/static_data/quest_definition/quests/15479.xml,started,reward,805800
15479,src/main/resources/aion/data/static_data/quest_definition/quests/15479.xml,started,reward,805802
15479,src/main/resources/aion/data/static_data/quest_definition/quests/15479.xml,started,reward,805804
15590,src/main/resources/aion/data/static_data/quest_definition/quests/15590.xml,started,reward,806114
17541,src/main/resources/aion/data/static_data/quest_definition/quests/17541.xml,started,reward,799553
18830,src/main/resources/aion/data/static_data/quest_definition/quests/18830.xml,started,reward,830645
18990,src/main/resources/aion/data/static_data/quest_definition/quests/18990.xml,started,reward,806075
18990,src/main/resources/aion/data/static_data/quest_definition/quests/18990.xml,started,reward,806214
18992,src/main/resources/aion/data/static_data/quest_definition/quests/18992.xml,started,reward,806075
18992,src/main/resources/aion/data/static_data/quest_definition/quests/18992.xml,started,reward,806215
18994,src/main/resources/aion/data/static_data/quest_definition/quests/18994.xml,started,reward,806075
18994,src/main/resources/aion/data/static_data/quest_definition/quests/18994.xml,started,reward,806241
23945,src/main/resources/aion/data/static_data/quest_definition/quests/23945.xml,started,reward,836180
24123,src/main/resources/aion/data/static_data/quest_definition/quests/24123.xml,started,reward,204345
25324,src/main/resources/aion/data/static_data/quest_definition/quests/25324.xml,started,reward,805343
25478,src/main/resources/aion/data/static_data/quest_definition/quests/25478.xml,started,reward,805816
25478,src/main/resources/aion/data/static_data/quest_definition/quests/25478.xml,started,reward,805818
25478,src/main/resources/aion/data/static_data/quest_definition/quests/25478.xml,started,reward,805820
25479,src/main/resources/aion/data/static_data/quest_definition/quests/25479.xml,started,reward,805817
25479,src/main/resources/aion/data/static_data/quest_definition/quests/25479.xml,started,reward,805819
25479,src/main/resources/aion/data/static_data/quest_definition/quests/25479.xml,started,reward,805821
25590,src/main/resources/aion/data/static_data/quest_definition/quests/25590.xml,started,reward,806116
27541,src/main/resources/aion/data/static_data/quest_definition/quests/27541.xml,started,reward,799558
28036,src/main/resources/aion/data/static_data/quest_definition/quests/28036.xml,started,reward,801047
28208,src/main/resources/aion/data/static_data/quest_definition/quests/28208.xml,started,reward,205320
28208,src/main/resources/aion/data/static_data/quest_definition/quests/28208.xml,started,reward,205321
28209,src/main/resources/aion/data/static_data/quest_definition/quests/28209.xml,started,reward,205321
28800,src/main/resources/aion/data/static_data/quest_definition/quests/28800.xml,started,reward,204191
28800,src/main/resources/aion/data/static_data/quest_definition/quests/28800.xml,started,reward,798459
28830,src/main/resources/aion/data/static_data/quest_definition/quests/28830.xml,started,reward,830651
28990,src/main/resources/aion/data/static_data/quest_definition/quests/28990.xml,started,reward,806079
28990,src/main/resources/aion/data/static_data/quest_definition/quests/28990.xml,started,reward,806216
28992,src/main/resources/aion/data/static_data/quest_definition/quests/28992.xml,started,reward,806079
28992,src/main/resources/aion/data/static_data/quest_definition/quests/28992.xml,started,reward,806217
28994,src/main/resources/aion/data/static_data/quest_definition/quests/28994.xml,started,reward,806079
28994,src/main/resources/aion/data/static_data/quest_definition/quests/28994.xml,started,reward,806242
30222,src/main/resources/aion/data/static_data/quest_definition/quests/30222.xml,started,reward,798979
35009,src/main/resources/aion/data/static_data/quest_definition/quests/35009.xml,started,reward,799805
35016,src/main/resources/aion/data/static_data/quest_definition/quests/35016.xml,started,reward,799806
35023,src/main/resources/aion/data/static_data/quest_definition/quests/35023.xml,started,reward,799800
