quest_id,audit_status,quest_xml,source_file,source_node,target_node,npc_id,action_id,page_id,page_name,page_actions,template_type,template_rows,evidence_source,unresolved_reason,decision,blocker,evidence_gaps
1000,CLIENT_PAGE_UNREACHED,quests/1000.xml,QUEST_Q1000.html,,,,1008,1003,quest_accept_1,FINISH_DIALOG,,0,QUEST_Q1000.html#quest_accept_1 page-order=4 sha256=c44ff1614a72565a157c3abe8b1e06ad334b6a30a06f3964511b065964de238d,active page is absent from compiled IR responses; no current path identifies its NPC or state,INTENTIONAL_CLIENT_ONLY,quest auto-starts via enter-zone; NONE state is free of dialog routes and client accept pages are unused template assets,proven auto-start (enter-zone); client accept pages are unused assets; no unique FULL legacy contract row
1000,CLIENT_PAGE_UNREACHED,quests/1000.xml,QUEST_Q1000.html,,,,1008,1004,quest_refuse_1,FINISH_DIALOG,,0,QUEST_Q1000.html#quest_refuse_1 page-order=5 sha256=c44ff1614a72565a157c3abe8b1e06ad334b6a30a06f3964511b065964de238d,active page is absent from compiled IR responses; no current path identifies its NPC or state,INTENTIONAL_CLIENT_ONLY,quest auto-starts via enter-zone; NONE state is free of dialog routes and client accept pages are unused template assets,proven auto-start (enter-zone); client accept pages are unused assets; no unique FULL legacy contract row
1000,CLIENT_PAGE_UNREACHED,quests/1000.xml,QUEST_Q1000.html,,,,1012,1011,select1,SELECT1_1,,0,QUEST_Q1000.html#select1 page-order=1 sha256=c44ff1614a72565a157c3abe8b1e06ad334b6a30a06f3964511b065964de238d,active page is absent from compiled IR responses; no current path identifies its NPC or state,EVIDENCE_BLOCKED,story/report chain root unreached; per-var page mapping absent from typed model,"per-var dialog mapping needs retail capture or a per-quest handler that does not exist in this repository; no unique FULL legacy contract row; story chain root unreached; wire order = chain root first (started QUEST_SELECT / NPC_REPORT page), then page turns"
1000,CLIENT_PAGE_UNREACHED,quests/1000.xml,QUEST_Q1000.html,,,,1007,1012,select1_1,ASK_QUEST_ACCEPT,,0,QUEST_Q1000.html#select1_1 page-order=2 sha256=c44ff1614a72565a157c3abe8b1e06ad334b6a30a06f3964511b065964de238d,active page is absent from compiled IR responses; no current path identifies its NPC or state,EVIDENCE_BLOCKED,story/report chain root unreached; per-var page mapping absent from typed model,per-var dialog mapping needs retail capture or a per-quest handler that does not exist in this repository; no unique FULL legacy contract row
1000,CLIENT_PAGE_UNREACHED,quests/1000.xml,QUEST_Q1000.html,,,,1353,1352,select2,SELECT2_1,,0,QUEST_Q1000.html#select2 page-order=6 sha256=c44ff1614a72565a157c3abe8b1e06ad334b6a30a06f3964511b065964de238d,active page is absent from compiled IR responses; no current path identifies its NPC or state,EVIDENCE_BLOCKED,story/report chain root unreached; per-var page mapping absent from typed model,"per-var dialog mapping needs retail capture or a per-quest handler that does not exist in this repository; no unique FULL legacy contract row; story chain root unreached; wire order = chain root first (started QUEST_SELECT / NPC_REPORT page), then page turns"
1000,CLIENT_PAGE_UNREACHED,quests/1000.xml,QUEST_Q1000.html,,,,10000,1353,select2_1,SETPRO1,,0,QUEST_Q1000.html#select2_1 page-order=7 sha256=c44ff1614a72565a157c3abe8b1e06ad334b6a30a06f3964511b065964de238d,active page is absent from compiled IR responses; no current path identifies its NPC or state,EVIDENCE_BLOCKED,story/report chain root unreached; per-var page mapping absent from typed model,"per-var dialog mapping needs retail capture or a per-quest handler that does not exist in this repository; no unique FULL legacy contract row; story chain root unreached; wire order = chain root first (started QUEST_SELECT / NPC_REPORT page), then page turns"
1000,CLIENT_PAGE_UNREACHED,quests/1000.xml,QUEST_Q1000.html,,,,39,2375,select5,CHECK_USER_HAS_QUEST_ITEM,,0,QUEST_Q1000.html#select5 page-order=8 sha256=c44ff1614a72565a157c3abe8b1e06ad334b6a30a06f3964511b065964de238d,active page is absent from compiled IR responses; no current path identifies its NPC or state,EVIDENCE_BLOCKED,story/report chain root unreached; per-var page mapping absent from typed model,per-var dialog mapping needs retail capture or a per-quest handler that does not exist in this repository; no unique FULL legacy contract row
1000,CLIENT_PAGE_UNREACHED,quests/1000.xml,QUEST_Q1000.html,,,,1008,2716,select6,FINISH_DIALOG,,0,QUEST_Q1000.html#select6 page-order=9 sha256=c44ff1614a72565a157c3abe8b1e06ad334b6a30a06f3964511b065964de238d,active page is absent from compiled IR responses; no current path identifies its NPC or state,EVIDENCE_BLOCKED,story/report chain root unreached; per-var page mapping absent from typed model,"per-var dialog mapping needs retail capture or a per-quest handler that does not exist in this repository; no unique FULL legacy contract row; story chain root unreached; wire order = chain root first (started QUEST_SELECT / NPC_REPORT page), then page turns"
1000,CLIENT_PAGE_UNREACHED,quests/1000.xml,QUEST_Q1000.html,,,,1002 1003,4,ask_quest_accept,QUEST_ACCEPT_1+QUEST_REFUSE_1,,0,QUEST_Q1000.html#ask_quest_accept page-order=3 sha256=c44ff1614a72565a157c3abe8b1e06ad334b6a30a06f3964511b065964de238d,active page is absent from compiled IR responses; no current path identifies its NPC or state,INTENTIONAL_CLIENT_ONLY,quest auto-starts via enter-zone; NONE state is free of dialog routes and client accept pages are unused template assets,proven auto-start (enter-zone); client accept pages are unused assets; no unique FULL legacy contract row
1044,CLIENT_PAGE_UNREACHED,quests/1044.xml,QUEST_Q1044.html,,,,1008,3143,select7_2,FINISH_DIALOG,,0,QUEST_Q1044.html#select7_2 page-order=11 sha256=a4ac60de0ce9a10339d5074ca9cd3b5f724ecfc2584aca2e0245f3f1f6457d69,active page is absent from compiled IR responses; no current path identifies its NPC or state,EVIDENCE_BLOCKED,page family needs per-quest handler/template evidence,no in-repo evidence maps this page to a dialog route; no unique FULL legacy contract row
1107,CLIENT_PAGE_UNREACHED,quests/1107.xml,QUEST_Q1107.html,,,,1008,4,ask_quest_accept,FINISH_DIALOG,item_order,1,QUEST_Q1107.html#ask_quest_accept page-order=1 sha256=9846d3e172c916f92a87ef7b27c8b23232bb8f12262c497f0c56d339b3d0722a,active page is absent from compiled IR responses; no current path identifies its NPC or state,INTENTIONAL_CLIENT_ONLY,item-start flow modelled via use-item/item-play route; dialog-only audit walk cannot reach page 4,"retail template simple_use_item: acquire , reward Selene"
1111,CLIENT_PAGE_UNREACHED,quests/1111.xml,QUEST_Q1111.html,,,,1008,1003,quest_accept_1,FINISH_DIALOG,,0,QUEST_Q1111.html#quest_accept_1 page-order=3 sha256=b0eb6fbaf19e596315c32f8b06d6708aba670bdc01254c233bd822916e93887e,active page is absent from compiled IR responses; no current path identifies its NPC or state,EVIDENCE_BLOCKED,accept/start flow for this NPC set lacks a unique contract start NPC or handler registration; cannot prove which dialog route shows the page,unique start NPC / start-page evidence (contract start_npc_ids or handler addOnQuestStart) required; no unique FULL legacy contract row
