quest_id,file,source,target,npc_id,action_id,old_page,new_page,candidate_page_id,client_file,client_sha256,evidence
2367,src/main/resources/aion/data/static_data/quest_definition/quests/2367.xml,unaccepted,unaccepted,798079,31,SELECT1,SHOW_ASK_QUEST_ACCEPT_WINDOW,4,QUEST_Q2367.html,522c2b377934bf4b126aed59426f2515f09f23c54f91a7a3fce8cda4dd2150a8,QUEST_Q2367.html
2367,src/main/resources/aion/data/static_data/quest_definition/quests/2367.xml,unaccepted,unaccepted,798080,31,SELECT1,SHOW_ASK_QUEST_ACCEPT_WINDOW,4,QUEST_Q2367.html,522c2b377934bf4b126aed59426f2515f09f23c54f91a7a3fce8cda4dd2150a8,QUEST_Q2367.html
2411,src/main/resources/aion/data/static_data/quest_definition/quests/2411.xml,unaccepted,unaccepted,204364,31,SELECT1,SHOW_ASK_QUEST_ACCEPT_WINDOW,4,QUEST_Q2411.html,88395f86f13efb9a7c15391910709ec2ad23a3759e9aa091545916416561865c,QUEST_Q2411.html
2411,src/main/resources/aion/data/static_data/quest_definition/quests/2411.xml,unaccepted,unaccepted,204366,31,SELECT1,SHOW_ASK_QUEST_ACCEPT_WINDOW,4,QUEST_Q2411.html,88395f86f13efb9a7c15391910709ec2ad23a3759e9aa091545916416561865c,QUEST_Q2411.html
2448,src/main/resources/aion/data/static_data/quest_definition/quests/2448.xml,unaccepted,unaccepted,798079,31,SELECT1,SHOW_ASK_QUEST_ACCEPT_WINDOW,4,QUEST_Q2448.html,0a2b5e3e7a297115ec69ad27fb872f7bec1c06924593a8b8e29bb46c7a779720,QUEST_Q2448.html
2448,src/main/resources/aion/data/static_data/quest_definition/quests/2448.xml,unaccepted,unaccepted,798080,31,SELECT1,SHOW_ASK_QUEST_ACCEPT_WINDOW,4,QUEST_Q2448.html,0a2b5e3e7a297115ec69ad27fb872f7bec1c06924593a8b8e29bb46c7a779720,QUEST_Q2448.html
2922,src/main/resources/aion/data/static_data/quest_definition/quests/2922.xml,unaccepted,unaccepted,204108,31,SELECT1,SHOW_ASK_QUEST_ACCEPT_WINDOW,4,QUEST_Q2922.html,d8aef81751f3249a335b696fe669cb8de9c15199558806407ec3333fcebd7c82,QUEST_Q2922.html
2922,src/main/resources/aion/data/static_data/quest_definition/quests/2922.xml,unaccepted,unaccepted,798058,31,SELECT1,SHOW_ASK_QUEST_ACCEPT_WINDOW,4,QUEST_Q2922.html,d8aef81751f3249a335b696fe669cb8de9c15199558806407ec3333fcebd7c82,QUEST_Q2922.html
3044,src/main/resources/aion/data/static_data/quest_definition/quests/3044.xml,started,started,730145,31,SELECT2,SELECT1,1011,QUEST_Q3044.html,2c6cb419b4f7ad908dbc81300d96a8931895374d9cd49dccf2779f82555947f6,QUEST_Q3044.html
3044,src/main/resources/aion/data/static_data/quest_definition/quests/3044.xml,started,started,798206,31,SELECT2,SELECT1,1011,QUEST_Q3044.html,2c6cb419b4f7ad908dbc81300d96a8931895374d9cd49dccf2779f82555947f6,QUEST_Q3044.html
21080,src/main/resources/aion/data/static_data/quest_definition/quests/21080.xml,started,started,799231,31,SELECT2,DEFAULT_SUCCESS,10002,20000_29999/quest_q21080.html,a5b21fc9d8e1a211637ff3186bace681b63671331fe879883dce3dd3428474b9,20000_29999/quest_q21080.html
21080,src/main/resources/aion/data/static_data/quest_definition/quests/21080.xml,started,started,799427,31,SELECT2,DEFAULT_SUCCESS,10002,20000_29999/quest_q21080.html,a5b21fc9d8e1a211637ff3186bace681b63671331fe879883dce3dd3428474b9,20000_29999/quest_q21080.html
24203,src/main/resources/aion/data/static_data/quest_definition/quests/24203.xml,started,started,205150,31,SELECT5,SELECT3,1693,20000_29999/quest_q24203.html,707af24acbdb5fe2936b957b2048fb40615f152b7e429759240b0fc8ef6c9d81,20000_29999/quest_q24203.html
50089,src/main/resources/aion/data/static_data/quest_definition/quests/50089.xml,unaccepted,started,835680,1002,QUEST_ACCEPT_1,SELECT1,1011,50000_59999/quest_q50089.html,81a34f730dfc48e9bfcf2dfdb4e9ee60295813e4b09a9a822d6daca67f448aa3,50000_59999/quest_q50089.html
50089,src/main/resources/aion/data/static_data/quest_definition/quests/50089.xml,unaccepted,started,835681,1002,QUEST_ACCEPT_1,SELECT1,1011,50000_59999/quest_q50089.html,81a34f730dfc48e9bfcf2dfdb4e9ee60295813e4b09a9a822d6daca67f448aa3,50000_59999/quest_q50089.html
50090,src/main/resources/aion/data/static_data/quest_definition/quests/50090.xml,unaccepted,started,835680,1002,QUEST_ACCEPT_1,SELECT1,1011,50000_59999/quest_q50090.html,62fafeff1af0bfa3952c8af3614c2469a15338026bb65d655b2d1fdae8c07fcd,50000_59999/quest_q50090.html
50090,src/main/resources/aion/data/static_data/quest_definition/quests/50090.xml,unaccepted,started,835681,1002,QUEST_ACCEPT_1,SELECT1,1011,50000_59999/quest_q50090.html,62fafeff1af0bfa3952c8af3614c2469a15338026bb65d655b2d1fdae8c07fcd,50000_59999/quest_q50090.html
