quest_id,file,source_node,npc_id,action_id,action_name,template_count
2333,src/main/resources/aion/data/static_data/quest_definition/quests/2333.xml,started,701147,39,CHECK_USER_HAS_QUEST_ITEM,2
14052,src/main/resources/aion/data/static_data/quest_definition/quests/14052.xml,s2,204629,39,CHECK_USER_HAS_QUEST_ITEM,2
15301,src/main/resources/aion/data/static_data/quest_definition/quests/15301.xml,started,805328,39,CHECK_USER_HAS_QUEST_ITEM,2
15302,src/main/resources/aion/data/static_data/quest_definition/quests/15302.xml,started,805329,39,CHECK_USER_HAS_QUEST_ITEM,2
15303,src/main/resources/aion/data/static_data/quest_definition/quests/15303.xml,started,805328,39,CHECK_USER_HAS_QUEST_ITEM,2
15305,src/main/resources/aion/data/static_data/quest_definition/quests/15305.xml,started,805329,39,CHECK_USER_HAS_QUEST_ITEM,2
25301,src/main/resources/aion/data/static_data/quest_definition/quests/25301.xml,started,805340,39,CHECK_USER_HAS_QUEST_ITEM,2
25302,src/main/resources/aion/data/static_data/quest_definition/quests/25302.xml,started,805341,39,CHECK_USER_HAS_QUEST_ITEM,2
25303,src/main/resources/aion/data/static_data/quest_definition/quests/25303.xml,started,805340,39,CHECK_USER_HAS_QUEST_ITEM,2
25304,src/main/resources/aion/data/static_data/quest_definition/quests/25304.xml,started,805340,39,CHECK_USER_HAS_QUEST_ITEM,2
25305,src/main/resources/aion/data/static_data/quest_definition/quests/25305.xml,started,805341,39,CHECK_USER_HAS_QUEST_ITEM,2
29000,src/main/resources/aion/data/static_data/quest_definition/quests/29000.xml,started,204097,39,CHECK_USER_HAS_QUEST_ITEM,2
