quest_id,template_type,contract_scope,start_type,start_npc_ids,end_npc_ids,start_page_id,start_page,report_open_action_id,report_open_action,report_page_id,report_page,report_source_status,report_action_id,report_action,report_target_status,reward_page_id,reward_page,progress_vars,progress_npc_ids,progress_page_ids,progress_pages,progress_action_ids,progress_actions,unresolved_reason,source_revision,source_resource,source_git_object,source_sha256
1101,report_to,FULL,TALK,203049,203057,1011,SELECT1,31,QUEST_SELECT,2375,SELECT5,START,1009,SELECT_QUEST_REWARD,REWARD,5,SHOW_SELECT_QUEST_REWARD_WINDOW1,,,,,,,,origin/history,src/main/resources/aion/definitions/compact/quests/scripts/zz_retail_simple_quests.xml,d8b94416e4f96778dec4b45641df097d693ba228,bad454f7f231ef391371a5250bd1644a5cd36a91a07a5e02e49b7c2986098dca
1102,monster_hunt,FULL,TALK,203057,203057,1011,SELECT1,31,QUEST_SELECT,1352,SELECT2,START,1009,SELECT_QUEST_REWARD,REWARD,5,SHOW_SELECT_QUEST_REWARD_WINDOW1,,,,,,,,origin/history,src/main/resources/aion/definitions/compact/quests/scripts/zz_retail_simple_quests.xml,d8b94416e4f96778dec4b45641df097d693ba228,bad454f7f231ef391371a5250bd1644a5cd36a91a07a5e02e49b7c2986098dca
1103,item_collecting,FULL,TALK,203057,203057,1011,SELECT1,31,QUEST_SELECT,2375,SELECT5,START,39,CHECK_COLLECTED_ITEMS,REWARD,5,SHOW_SELECT_QUEST_REWARD_WINDOW1,,,,,,,,origin/history,src/main/resources/aion/definitions/compact/quests/scripts/zz_retail_simple_quests.xml,d8b94416e4f96778dec4b45641df097d693ba228,bad454f7f231ef391371a5250bd1644a5cd36a91a07a5e02e49b7c2986098dca
1104,report_to,FULL,TALK,203057,203059,1011,SELECT1,31,QUEST_SELECT,2375,SELECT5,START,1009,SELECT_QUEST_REWARD,REWARD,5,SHOW_SELECT_QUEST_REWARD_WINDOW1,,,,,,,,origin/history,src/main/resources/aion/definitions/compact/quests/scripts/zz_retail_simple_quests.xml,d8b94416e4f96778dec4b45641df097d693ba228,bad454f7f231ef391371a5250bd1644a5cd36a91a07a5e02e49b7c2986098dca
1105,item_collecting,FULL,TALK,203050,203050,1011,SELECT1,31,QUEST_SELECT,2375,SELECT5,START,39,CHECK_COLLECTED_ITEMS,REWARD,5,SHOW_SELECT_QUEST_REWARD_WINDOW1,,,,,,,,origin/history,src/main/resources/aion/definitions/compact/quests/scripts/zz_retail_simple_quests.xml,d8b94416e4f96778dec4b45641df097d693ba228,bad454f7f231ef391371a5250bd1644a5cd36a91a07a5e02e49b7c2986098dca
1106,report_to,FULL,TALK,203050,203061,1011,SELECT1,31,QUEST_SELECT,2375,SELECT5,START,1009,SELECT_QUEST_REWARD,REWARD,5,SHOW_SELECT_QUEST_REWARD_WINDOW1,,,,,,,,origin/history,src/main/resources/aion/definitions/compact/quests/scripts/zz_retail_simple_quests.xml,d8b94416e4f96778dec4b45641df097d693ba228,bad454f7f231ef391371a5250bd1644a5cd36a91a07a5e02e49b7c2986098dca
1107,item_order,FULL,TALK,,203075,,,31,QUEST_SELECT,2375,SELECT5,START,1009,SELECT_QUEST_REWARD,REWARD,5,SHOW_SELECT_QUEST_REWARD_WINDOW1,,,,,,,,origin/history,src/main/resources/aion/definitions/compact/quests/scripts/zz_retail_simple_quests.xml,d8b94416e4f96778dec4b45641df097d693ba228,bad454f7f231ef391371a5250bd1644a5cd36a91a07a5e02e49b7c2986098dca
1108,item_collecting,FULL,TALK,203061,203072,1011,SELECT1,31,QUEST_SELECT,2375,SELECT5,START,39,CHECK_COLLECTED_ITEMS,REWARD,5,SHOW_SELECT_QUEST_REWARD_WINDOW1,,,,,,,,origin/history,src/main/resources/aion/definitions/compact/quests/scripts/zz_retail_simple_quests.xml,d8b94416e4f96778dec4b45641df097d693ba228,bad454f7f231ef391371a5250bd1644a5cd36a91a07a5e02e49b7c2986098dca
1110,report_to,FULL,TALK,203065,203075,1011,SELECT1,31,QUEST_SELECT,2375,SELECT5,START,1009,SELECT_QUEST_REWARD,REWARD,5,SHOW_SELECT_QUEST_REWARD_WINDOW1,,,,,,,,origin/history,src/main/resources/aion/definitions/compact/quests/scripts/zz_retail_simple_quests.xml,d8b94416e4f96778dec4b45641df097d693ba228,bad454f7f231ef391371a5250bd1644a5cd36a91a07a5e02e49b7c2986098dca
1112,monster_hunt,FULL,TALK,203072,203072,1011,SELECT1,31,QUEST_SELECT,1352,SELECT2,START,1009,SELECT_QUEST_REWARD,REWARD,5,SHOW_SELECT_QUEST_REWARD_WINDOW1,,,,,,,,origin/history,src/main/resources/aion/definitions/compact/quests/scripts/zz_retail_simple_quests.xml,d8b94416e4f96778dec4b45641df097d693ba228,bad454f7f231ef391371a5250bd1644a5cd36a91a07a5e02e49b7c2986098dca
1113,monster_hunt,FULL,TALK,203076,203076,1011,SELECT1,31,QUEST_SELECT,1352,SELECT2,START,1009,SELECT_QUEST_REWARD,REWARD,5,SHOW_SELECT_QUEST_REWARD_WINDOW1,,,,,,,,origin/history,src/main/resources/aion/definitions/compact/quests/scripts/zz_retail_simple_quests.xml,d8b94416e4f96778dec4b45641df097d693ba228,bad454f7f231ef391371a5250bd1644a5cd36a91a07a5e02e49b7c2986098dca
1115,report_to_many,FULL,TALK,203075,203058,1011,SELECT1,31,QUEST_SELECT,2375,SELECT5,REWARD,1009,SELECT_QUEST_REWARD,REWARD,5,SHOW_SELECT_QUEST_REWARD_WINDOW1,0,203072,1352,SELECT2,10000,SETPRO1,,origin/history,src/main/resources/aion/definitions/compact/quests/scripts/zz_retail_simple_quests.xml,d8b94416e4f96778dec4b45641df097d693ba228,bad454f7f231ef391371a5250bd1644a5cd36a91a07a5e02e49b7c2986098dca
1116,item_collecting,FULL,TALK,203060,203060,1011,SELECT1,31,QUEST_SELECT,2375,SELECT5,START,39,CHECK_COLLECTED_ITEMS,REWARD,5,SHOW_SELECT_QUEST_REWARD_WINDOW1,,,,,,,,origin/history,src/main/resources/aion/definitions/compact/quests/scripts/zz_retail_simple_quests.xml,d8b94416e4f96778dec4b45641df097d693ba228,bad454f7f231ef391371a5250bd1644a5cd36a91a07a5e02e49b7c2986098dca
1117,item_collecting,FULL,TALK,203074,203074,1011,SELECT1,31,QUEST_SELECT,2375,SELECT5,START,39,CHECK_COLLECTED_ITEMS,REWARD,5,SHOW_SELECT_QUEST_REWARD_WINDOW1,,,,,,,,origin/history,src/main/resources/aion/definitions/compact/quests/scripts/zz_retail_simple_quests.xml,d8b94416e4f96778dec4b45641df097d693ba228,bad454f7f231ef391371a5250bd1644a5cd36a91a07a5e02e49b7c2986098dca
1118,data_driven_quest,FULL,TALK,203059,203079,4762,SELECT_NONE,31,QUEST_SELECT,10002,DEFAULT_SUCCESS,REWARD,1009,SELECT_QUEST_REWARD,REWARD,5,SHOW_SELECT_QUEST_REWARD_WINDOW1,,,,,,,,origin/history,src/main/resources/aion/definitions/compact/quests/scripts/zz_retail_simple_quests.xml,d8b94416e4f96778dec4b45641df097d693ba228,bad454f7f231ef391371a5250bd1644a5cd36a91a07a5e02e49b7c2986098dca
1119,report_to,FULL,TALK,203075,203080,1011,SELECT1,31,QUEST_SELECT,2375,SELECT5,START,1009,SELECT_QUEST_REWARD,REWARD,5,SHOW_SELECT_QUEST_REWARD_WINDOW1,,,,,,,,origin/history,src/main/resources/aion/definitions/compact/quests/scripts/zz_retail_simple_quests.xml,d8b94416e4f96778dec4b45641df097d693ba228,bad454f7f231ef391371a5250bd1644a5cd36a91a07a5e02e49b7c2986098dca
1120,monster_hunt,FULL,TALK,203082,203082,1011,SELECT1,31,QUEST_SELECT,1352,SELECT2,START,1009,SELECT_QUEST_REWARD,REWARD,5,SHOW_SELECT_QUEST_REWARD_WINDOW1,,,,,,,,origin/history,src/main/resources/aion/definitions/compact/quests/scripts/zz_retail_simple_quests.xml,d8b94416e4f96778dec4b45641df097d693ba228,bad454f7f231ef391371a5250bd1644a5cd36a91a07a5e02e49b7c2986098dca
1121,item_collecting,FULL,TALK,203081,203081,1011,SELECT1,31,QUEST_SELECT,2375,SELECT5,START,39,CHECK_COLLECTED_ITEMS,REWARD,5,SHOW_SELECT_QUEST_REWARD_WINDOW1,,,,,,,,origin/history,src/main/resources/aion/definitions/compact/quests/scripts/zz_retail_simple_quests.xml,d8b94416e4f96778dec4b45641df097d693ba228,bad454f7f231ef391371a5250bd1644a5cd36a91a07a5e02e49b7c2986098dca
