quest_id,source_file,source_variant,source_sha256,page_order,html_page_name,page_id,page_constant,page_mapping,action_count
10000,10000_19999/QUEST_Q10000.html,active,b8f16aa7e76f6f206048a3b5fe5a9cf1c200967cb0e6d5725c1e13702bcf36ce,1,select1,1011,HTML_PAGE_SELECT1,exact,1
10000,10000_19999/QUEST_Q10000.html,active,b8f16aa7e76f6f206048a3b5fe5a9cf1c200967cb0e6d5725c1e13702bcf36ce,2,select1_1,1012,HTML_PAGE_SELECT1_1,exact,1
10000,10000_19999/QUEST_Q10000.html,active,b8f16aa7e76f6f206048a3b5fe5a9cf1c200967cb0e6d5725c1e13702bcf36ce,3,select_success,10002,HTML_PAGE_DEFAULT_SUCCESS,exact,1
10000,10000_19999/QUEST_Q10000.html,active,b8f16aa7e76f6f206048a3b5fe5a9cf1c200967cb0e6d5725c1e13702bcf36ce,4,select_quest_reward1,5,HTML_PAGE_SHOW_SELECT_QUEST_REWARD_WINDOW1,exact,0
10000,10000_19999/QUEST_Q10000.html,active,b8f16aa7e76f6f206048a3b5fe5a9cf1c200967cb0e6d5725c1e13702bcf36ce,5,quest_summary,9,HTML_PAGE_QUEST_SUMMARY,exact,0
10000,10000_19999/QUEST_Q10000.html,active,b8f16aa7e76f6f206048a3b5fe5a9cf1c200967cb0e6d5725c1e13702bcf36ce,6,quest_complete,1008,HTML_PAGE_QUEST_COMPLETE,exact,0
10000,10000_19999/QUEST_Q10000.html,active,b8f16aa7e76f6f206048a3b5fe5a9cf1c200967cb0e6d5725c1e13702bcf36ce,7,select_progressive_quest_desc,11,HTML_PAGE_SELECT_PROGRESSIVE_QUEST_DESC,exact,0
10001,10000_19999/QUEST_Q10001.html,active,40f0340ac81dd19045268063942557b8d1b4deec29b9ef415b23ce35db06eec7,1,select1,1011,HTML_PAGE_SELECT1,exact,1
10001,10000_19999/QUEST_Q10001.html,active,40f0340ac81dd19045268063942557b8d1b4deec29b9ef415b23ce35db06eec7,2,select1_1,1012,HTML_PAGE_SELECT1_1,exact,1
10001,10000_19999/QUEST_Q10001.html,active,40f0340ac81dd19045268063942557b8d1b4deec29b9ef415b23ce35db06eec7,3,select2,1352,HTML_PAGE_SELECT2,exact,1
10001,10000_19999/QUEST_Q10001.html,active,40f0340ac81dd19045268063942557b8d1b4deec29b9ef415b23ce35db06eec7,4,select2_1,1353,HTML_PAGE_SELECT2_1,exact,1
10001,10000_19999/QUEST_Q10001.html,active,40f0340ac81dd19045268063942557b8d1b4deec29b9ef415b23ce35db06eec7,5,select2_1_1,1354,HTML_PAGE_SELECT2_1_1,exact,1
10001,10000_19999/QUEST_Q10001.html,active,40f0340ac81dd19045268063942557b8d1b4deec29b9ef415b23ce35db06eec7,6,select3,1693,HTML_PAGE_SELECT3,exact,1
10001,10000_19999/QUEST_Q10001.html,active,40f0340ac81dd19045268063942557b8d1b4deec29b9ef415b23ce35db06eec7,7,select3_1,1694,HTML_PAGE_SELECT3_1,exact,1
10001,10000_19999/QUEST_Q10001.html,active,40f0340ac81dd19045268063942557b8d1b4deec29b9ef415b23ce35db06eec7,8,select4,2034,HTML_PAGE_SELECT4,exact,1
10001,10000_19999/QUEST_Q10001.html,active,40f0340ac81dd19045268063942557b8d1b4deec29b9ef415b23ce35db06eec7,9,select4_1,2035,HTML_PAGE_SELECT4_1,exact,1
